perspective,taxonomy,n,replicate,shuffle_id,n_disjoint,n_refs,dcor_A,dcor_B,disparity_A,disparity_B,hull_area
behavioral,behavioral,5,0,0,199,4,0.3914416279254797,0.8166530237906422,0.3616071590044759,0.4450294538701551,0.06521171078909369
behavioral,behavioral,5,1,0,199,4,0.42824776758821315,0.9398369600873959,0.26683858510616615,0.11860279771100674,0.16636348030975623
behavioral,behavioral,5,2,0,199,4,0.42526991137738945,0.6945072259988881,0.04020048372418948,0.14187878574533452,0.08920061292196439
behavioral,behavioral,5,3,0,199,4,0.5584970936885868,0.9941707687384606,0.0594426118164561,0.28505249655879406,0.05360697093271962
behavioral,behavioral,5,4,0,199,4,0.026107369490090637,0.9088679691703471,0.5254757747333572,0.5175192887646228,0.04624575649087116
behavioral,behavioral,5,5,0,199,4,0.3573689795106436,0.9817122467939434,0.0601518359113719,0.31909144759202585,0.14518916135380774
behavioral,behavioral,5,6,0,199,4,-0.07764303309838351,0.851186985239752,0.4580114224923245,0.32959732518131984,0.08235901474382079
behavioral,behavioral,5,7,0,199,4,0.3186079467174484,0.9812680633564921,0.4058803094259522,0.1502687390181223,0.16978427333994073
behavioral,behavioral,5,8,0,199,4,0.35156268892242387,0.27599151954553697,0.24983998350260453,0.27541201203600546,0.15796302805028617
behavioral,behavioral,5,9,0,199,4,-0.030733844065594592,-0.11915122107759737,0.9480597436347786,0.435336606841694,0.03611325938943514
behavioral,behavioral,5,10,0,199,4,-0.022019997616712715,0.6530814515115124,0.4057200022364145,0.3225416841461003,0.11072134706842486
behavioral,behavioral,5,11,0,199,4,-0.285724883312895,0.8143243337569878,0.5113200703509058,0.4364764466754396,0.1053952906176277
behavioral,behavioral,5,12,0,199,4,0.2769681781339096,0.8409966394851103,0.06780367758264072,0.24949021111090852,0.09171208915790033
behavioral,behavioral,5,13,0,199,4,0.26022583294423174,0.7702799218653835,0.3165369511482351,0.31854148015256945,0.13661550864784094
behavioral,behavioral,5,14,0,199,4,-0.28692689098863555,0.8481871923202274,0.6373541730097021,0.47511489593376643,0.1571836086469075
behavioral,behavioral,5,15,0,199,4,0.05587971537408674,0.16037681960055777,0.49792096451325346,0.5731874038199374,0.026543677508971276
behavioral,behavioral,5,16,0,199,4,0.059568124876663076,0.5061133726351261,0.3326449479515411,0.3489443036537072,0.18177872842585027
behavioral,behavioral,5,17,0,199,4,-0.07042476197307174,0.9782123856458207,0.23749071101304883,0.22530483877933768,0.2808087310664014
behavioral,behavioral,5,18,0,199,4,0.17177053431884015,0.9550196826742567,0.06326568839330263,0.2919504014809704,0.079890838392095
behavioral,behavioral,5,19,0,199,4,0.024473467783677087,0.6900912530659238,0.3024608994410402,0.35591614385392784,0.053000754206495804
behavioral,behavioral,5,20,0,199,4,0.35510694032868356,0.9770935504852026,0.6024891505312325,0.21609344397160865,0.14865325242987337
behavioral,behavioral,5,21,0,199,4,0.22567963172707237,-0.016418369043864206,0.16309308205121562,0.2526923044198638,0.04654886263427471
behavioral,behavioral,5,22,0,199,4,-0.1387507561761504,0.8347061015097343,0.4972872010001953,0.41254238983784797,0.02143412818720649
behavioral,behavioral,5,23,0,199,4,-0.17991478105015116,0.7032137846088714,0.4869532137511766,0.5264426815075713,0.03615655985649689
behavioral,behavioral,5,24,0,199,4,-0.24980984407422618,0.5001627627683455,0.584456657751464,0.4663410090573157,0.10812327043634695
behavioral,behavioral,5,25,0,199,4,0.2418838485232947,0.8669008464603423,0.43978631813429836,0.378266334700388,0.04754479300380167
behavioral,behavioral,5,26,0,199,4,0.3852879442381591,0.9755165545495577,0.2457102147853406,0.12921596167199262,0.12799855536525262
behavioral,behavioral,5,27,0,199,4,0.5571839115080249,0.7468601403719397,0.19953330990693013,0.30699086986918106,0.1279985572368527
behavioral,behavioral,5,28,0,199,4,0.06031229882969537,0.26114952235951594,0.4838259122353972,0.6455340009475312,0.10041564097643399
behavioral,behavioral,5,29,0,199,4,0.29500784913858175,0.9668831737711742,0.2804170368251998,0.26661134863673885,0.12730572878009017
behavioral,behavioral,5,30,0,199,4,0.37659362800636886,0.8493057869560661,0.20344004068428168,0.16497289402401544,0.13943008902564774
behavioral,behavioral,5,31,0,199,4,-0.012811768983599583,0.9596591101428691,0.41054357118032375,0.3407436696177077,0.04511992247083232
behavioral,behavioral,5,32,0,199,4,0.33493045375196046,0.9891160904446307,0.0969625402740441,0.302091456023304,0.037672104100682335
behavioral,behavioral,5,33,0,199,4,0.2722037420785201,0.9912151221782513,0.06049248403503549,0.13119493224469783,0.1115440727155946
behavioral,behavioral,5,34,0,199,4,0.02009972797106032,0.8178714659496904,0.3441540362273607,0.21458281727467404,0.08989343681426917
behavioral,behavioral,5,35,0,199,4,-0.14248294571776143,0.40932712066735816,0.5589768849524388,0.38519816461434525,0.11487826829767034
behavioral,behavioral,5,36,0,199,4,0.2073188508322609,0.8443924178421438,0.4627660641279531,0.5950855730756378,0.08383125942226412
behavioral,behavioral,5,37,0,199,4,0.6223830596804037,0.9962331332148608,0.16726872471585447,0.38420915532423083,0.010175798967712296
behavioral,behavioral,5,38,0,199,4,0.4750214789874472,0.8341141044670839,0.3618126567034819,0.45022137997662964,0.1704771014993295
behavioral,behavioral,5,39,0,199,4,0.34013382022520916,0.9711559225461438,0.41426987808746535,0.22985314942603963,0.09560920235844178
behavioral,behavioral,5,40,0,199,4,0.3722462899353277,0.9669507225286714,0.23160586406276845,0.2797936716994249,0.1425044780324497
behavioral,behavioral,5,41,0,199,4,-0.12909243902610962,0.6588338717974189,0.792714585133981,0.5981692580452248,0.157313521388631
behavioral,behavioral,5,42,0,199,4,0.6724056209539384,0.9988606090538367,0.10806011435397113,0.21885852942291265,0.10998522777747377
behavioral,behavioral,5,43,0,199,4,0.6088711639294554,0.9679099082667606,0.06330822470010913,0.08086621207708172,0.0948297808898254
behavioral,behavioral,5,44,0,199,4,0.634923122233357,0.6219758144358407,0.09887851248915294,0.568364329247119,0.17052039683135892
behavioral,behavioral,5,45,0,199,4,0.1435495963367081,-0.1833055886937583,0.35616561966762206,0.4854065361608606,0.1255303841810984
behavioral,behavioral,5,46,0,199,4,0.16337929153059152,0.9727190047255589,0.32302784359063247,0.3045097050597657,0.01619467399126759
behavioral,behavioral,5,47,0,199,4,0.30043632497611666,0.9524830635246465,0.4234628042630978,0.16155721486672292,0.04377758282846718
behavioral,behavioral,5,48,0,199,4,0.15913062763758704,0.13031926707568897,0.5179273297358725,0.514515479733371,0.03754220223205356
behavioral,behavioral,5,49,0,199,4,0.22405540713879435,0.8265702645561078,0.4024697300094541,0.2116709236466411,0.16203334975281297
behavioral,behavioral,5,50,0,199,4,-0.044176823755097405,0.7656461544737305,0.5054715032197054,0.5433705551861312,0.09621542516248796
