perspective,kind,init_seed,model_id,mixture,dim1,dim2
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_050g2_000g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_050g1_050g2_000g3_n1000_s00,0.18521851301193237,-0.10993672162294388
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_025g2_025g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_050g1_025g2_025g3_n1000_s00,0.00271360925398767,-0.117430180311203
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_050g1_000g2_050g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_050g1_000g2_050g3_n1000_s00,-0.197440966963768,-0.10893132537603378
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_033g1_033g2_033g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_033g1_033g2_033g3_n1000_s00,0.010738302953541279,-0.0008574208477512002
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_075g2_000g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_025g1_075g2_000g3_n1000_s00,0.24719204008579254,0.021267684176564217
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_050g2_025g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_025g1_050g2_025g3_n1000_s00,0.11616240441799164,0.03912707418203354
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_025g2_050g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_025g1_025g2_050g3_n1000_s00,-0.08400960266590118,0.04922359809279442
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_025g1_000g2_075g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_025g1_000g2_075g3_n1000_s00,-0.2703622281551361,0.050453998148441315
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_100g2_000g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_000g1_100g2_000g3_n1000_s00,0.2972174882888794,0.17906415462493896
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_075g2_025g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_000g1_075g2_025g3_n1000_s00,0.18269288539886475,0.19356156885623932
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_050g2_050g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_000g1_050g2_050g3_n1000_s00,0.040500108152627945,0.21193009614944458
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_025g2_075g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_000g1_025g2_075g3_n1000_s00,-0.14305166900157928,0.2239770144224167
structural_all_o,seed_aligned,0,/weka/scratch/jhu/cpriebe1/MO/model-taxonomy/results/shared_cache/03_adapters/allenai--OLMo-2-0425-1B-Instruct/yahoo_000g1_000g2_100g3_n1000_s00_r16_i00_b5008_fea27ccee,yahoo_000g1_000g2_100g3_n1000_s00,-0.3261879086494446,0.2176908552646637
structural_all_o,seed_reference,-1,yahoo_100g1_000g2_000g3_n1000_s00,yahoo_100g1_000g2_000g3_n1000_s00,-0.025552120059728622,-0.35368457436561584
structural_all_o,seed_reference,-1,yahoo_075g1_025g2_000g3_n1000_s00,yahoo_075g1_025g2_000g3_n1000_s00,0.06956701725721359,-0.24539175629615784
structural_all_o,seed_reference,-1,yahoo_075g1_000g2_025g3_n1000_s00,yahoo_075g1_000g2_025g3_n1000_s00,-0.10974957793951035,-0.25111696124076843
structural_all_o,seed_reference,-1,yahoo_050g1_050g2_000g3_n1000_s00,yahoo_050g1_050g2_000g3_n1000_s00,0.18282897770404816,-0.11034975200891495
structural_all_o,seed_reference,-1,yahoo_050g1_025g2_025g3_n1000_s00,yahoo_050g1_025g2_025g3_n1000_s00,0.006060739513486624,-0.1177181676030159
structural_all_o,seed_reference,-1,yahoo_050g1_000g2_050g3_n1000_s00,yahoo_050g1_000g2_050g3_n1000_s00,-0.19676925241947174,-0.10417116433382034
structural_all_o,seed_reference,-1,yahoo_033g1_033g2_033g3_n1000_s00,yahoo_033g1_033g2_033g3_n1000_s00,0.009083476848900318,-0.0020962536800652742
structural_all_o,seed_reference,-1,yahoo_025g1_075g2_000g3_n1000_s00,yahoo_025g1_075g2_000g3_n1000_s00,0.24970971047878265,0.01991557888686657
structural_all_o,seed_reference,-1,yahoo_025g1_050g2_025g3_n1000_s00,yahoo_025g1_050g2_025g3_n1000_s00,0.1187707707285881,0.040480490773916245
structural_all_o,seed_reference,-1,yahoo_025g1_025g2_050g3_n1000_s00,yahoo_025g1_025g2_050g3_n1000_s00,-0.0824592113494873,0.053762856870889664
structural_all_o,seed_reference,-1,yahoo_025g1_000g2_075g3_n1000_s00,yahoo_025g1_000g2_075g3_n1000_s00,-0.2699647545814514,0.050891533493995667
structural_all_o,seed_reference,-1,yahoo_000g1_100g2_000g3_n1000_s00,yahoo_000g1_100g2_000g3_n1000_s00,0.3003813922405243,0.17850734293460846
structural_all_o,seed_reference,-1,yahoo_000g1_075g2_025g3_n1000_s00,yahoo_000g1_075g2_025g3_n1000_s00,0.18229421973228455,0.19610705971717834
structural_all_o,seed_reference,-1,yahoo_000g1_050g2_050g3_n1000_s00,yahoo_000g1_050g2_050g3_n1000_s00,0.03694908320903778,0.21274451911449432
structural_all_o,seed_reference,-1,yahoo_000g1_025g2_075g3_n1000_s00,yahoo_000g1_025g2_075g3_n1000_s00,-0.1449308544397354,0.22256408631801605
structural_all_o,seed_reference,-1,yahoo_000g1_000g2_100g3_n1000_s00,yahoo_000g1_000g2_100g3_n1000_s00,-0.3262196183204651,0.20955519378185272
