perspective,taxonomy,metric,n_samples,seed,n_models,dcor_requested,dcor_realized,disparity_requested,disparity_realized,max_realized_deviation
dataset_embedding,dataset_embedding,euclidean,10,0,16,0.9427661313766381,0.9668261382668312,0.027498419129044015,0.018884244514388283,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,1,16,0.936724402781923,0.9534892759250294,0.030354249580374047,0.024591805836702833,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,2,16,0.9354824827467717,0.9633063471863784,0.030817262060677413,0.02212229411251666,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,3,16,0.9609880856741105,0.9744371043462536,0.020878925277365852,0.017004708790991946,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,4,16,0.9478615211438155,0.969183461720516,0.027696394181785315,0.02146511184789747,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,5,16,0.9677730543123243,0.9824780172479682,0.022621261986988724,0.017322881339466804,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,6,16,0.9384125221673256,0.9558299632311342,0.02137425733343535,0.0162752150764864,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,7,16,0.9348310909645011,0.9627917288086353,0.03671824437785491,0.02434015749254292,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,8,16,0.9463503319525685,0.9701350556747731,0.036616706262266485,0.02741066092953688,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,10,9,16,0.9543056225533945,0.9712770512771095,0.021012962867767628,0.01541130350627858,0.06666666666666671
dataset_embedding,dataset_embedding,euclidean,20,0,16,0.972632586640083,0.9758877011401526,0.02032595651630441,0.01809042339477493,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,1,16,0.9545599666533437,0.9552210343002824,0.018850847892682397,0.018443154046592546,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,2,16,0.9654547749560795,0.9686479911836549,0.01565607563052245,0.013600904032636252,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,3,16,0.9665264646515811,0.9685744651118309,0.019191024619634105,0.017837832934607653,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,4,16,0.9739952749754441,0.975269344033169,0.018060094728043152,0.017509581507960933,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,5,16,0.9719205488496472,0.971404365845997,0.016792076736453547,0.016792359177854783,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,6,16,0.9668860186200803,0.9659715794441951,0.012969439785578518,0.013569961266937675,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,7,16,0.9572748439884773,0.9601172530021641,0.02653022549157409,0.025232683498690008,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,8,16,0.9707847121383514,0.9742015979736958,0.016377464903373547,0.014313229043793105,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,20,9,16,0.9754485558304766,0.9764708712162709,0.015237881704262206,0.014875422684061314,0.033333333333333326
dataset_embedding,dataset_embedding,euclidean,50,0,16,0.9814512323045224,0.9850255849552481,0.010204242206945721,0.00881673326206378,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,1,16,0.9646379465739185,0.9664696800811174,0.019586245979800125,0.018922517671264752,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,2,16,0.9774919816314259,0.9798234749162704,0.01330631789885383,0.012182515591249048,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,3,16,0.9586985577445315,0.9604448635276602,0.018820539093373605,0.017952210883258747,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,4,16,0.9798039549252526,0.9825810408104932,0.013769655558139183,0.012402179819911612,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,5,16,0.9717577975037347,0.9719025083725038,0.016063487642488824,0.01663571972830548,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,6,16,0.9767346851674842,0.9787705554131749,0.016147859765074535,0.01546321856156794,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,7,16,0.9764006202788124,0.9779478907782375,0.013140438906170782,0.012609990206147316,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,8,16,0.9842963632666786,0.9868444766139132,0.010734566425834782,0.00979653020915603,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,50,9,16,0.9749044271127596,0.9749546460178026,0.015172473036785624,0.015315097749678238,0.013333333333333308
dataset_embedding,dataset_embedding,euclidean,100,0,16,0.9885148945687604,0.9883467156479291,0.01012080718784954,0.010194299265822325,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,1,16,0.9734764995399332,0.9736942414183769,0.012666675427574017,0.01255059793840136,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,2,16,0.9812534356723209,0.981379885972913,0.016983245299020747,0.016934490867792237,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,3,16,0.9432345503845246,0.9432898830302608,0.03280170481833038,0.03275057230274768,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,4,16,0.985751204989973,0.9857458471403568,0.010062636054157779,0.010035762358429946,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,5,16,0.9689714076456977,0.9687004711070611,0.017853105509455604,0.017984989029047896,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,6,16,0.9798938842117586,0.979906301941088,0.014295785273548137,0.01428512358119204,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,7,16,0.9865729353595554,0.9867168050543639,0.008959400078376076,0.008885068298131476,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,8,16,0.9803067252697854,0.9804204599366257,0.015613376518045795,0.015575856775786049,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,100,9,16,0.9663158076252425,0.9661342430778819,0.019687383646750246,0.019799932971738328,0.00666666666666671
dataset_embedding,dataset_embedding,euclidean,200,0,16,0.9876562112879812,0.9876119986530182,0.008373359239006353,0.00838601041707681,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,1,16,0.9733574559328738,0.9733947069750296,0.016240451247999662,0.01620640943086779,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,2,16,0.960728022933477,0.960645204382719,0.025720149365971216,0.02572364590018361,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,3,16,0.9548807537605507,0.9548118868231591,0.0264383129229532,0.026448427775393517,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,4,16,0.9854216077455383,0.9855543154985886,0.008394048425596476,0.008328390908517056,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,5,16,0.9796044933680831,0.9796653256703265,0.013071791599622726,0.01302852739450157,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,6,16,0.9749972863950975,0.9748979677821662,0.018854604934739123,0.018886999120929393,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,7,16,0.9884385634203698,0.9885334236958975,0.007535326992663427,0.007492249422922919,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,8,16,0.9712325699778412,0.9711126855518339,0.017882951871149567,0.017915805362778252,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,200,9,16,0.9633203850363028,0.963310624069981,0.022898520009509093,0.022891380027956456,0.0033333333333332993
dataset_embedding,dataset_embedding,euclidean,500,0,16,0.9840202076841635,0.984035406829537,0.01135432508119465,0.011341387050437352,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,1,16,0.9776224408247113,0.977607990314004,0.016744405704762804,0.01674633065421879,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,2,16,0.9631950802438128,0.9631779329850929,0.02530387249595781,0.025303354788892805,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,3,16,0.9749957189078494,0.9750022705563637,0.018197372567825304,0.018192212429220124,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,4,16,0.9804732554805742,0.9804686497001496,0.013964422062476441,0.013964552304291607,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,5,16,0.955925319986741,0.9559298199175832,0.03477653774223384,0.034759320067222814,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,6,16,0.9698356706188085,0.9698750084052931,0.02071424626362633,0.020689457895129708,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,7,16,0.9794238484951687,0.9794012664325134,0.0170796098691047,0.01708636979718166,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,8,16,0.9755313431305608,0.9755075166799255,0.01735776914992235,0.017364261294491756,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,500,9,16,0.9753512263847881,0.9753794711860617,0.014846899895473019,0.014831520805629127,0.0013333333333332975
dataset_embedding,dataset_embedding,euclidean,1000,0,16,0.9797182502714985,0.9797054384586791,0.015227359060525397,0.015232334957059357,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,1,16,0.9668456992812219,0.9668498290013399,0.024697936773168522,0.024694763033603788,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,2,16,0.9626419211422911,0.9626462116467928,0.02872303371389929,0.028719398872157013,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,3,16,0.972440568969335,0.9724400692811196,0.023247710412519065,0.02324797088139298,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,4,16,0.9729210299233679,0.9729245451643598,0.02057361668258801,0.02057119807432673,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,5,16,0.9554316092337197,0.955418881764846,0.03210124269747011,0.0321036503721476,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,6,16,0.969464881365919,0.9694703011790339,0.021851284465287255,0.02184775848854842,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,7,16,0.9686059237127518,0.9686030401847714,0.021170532308353633,0.021169752164133568,0.0006666666666667043
dataset_embedding,dataset_embedding,euclidean,1000,8,16,0.9774332322314971,0.977433855351062,0.017077795964951764,0.01707640811291699,0.0006666666666667043
